POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,Ov,Wkts,BBI,Econ,4w,5w
1,ViratKohli,177,169,26.0,5412,113,37.84,4112.0,131.61,5.0,36.0,480.0,190.0,,,,,,
2,Suresh Raina,193,189,28.0,5368,100*,33.34,3914.0,137.14,1.0,38.0,493.0,194.0,,,,,,
3,Rohit Sharma,188,183,28.0,4898,109*,31.6,3744.0,130.82,1.0,36.0,431.0,194.0,,,,,,
4,David Warner,126,126,17.0,4706,126,43.17,3305.0,142.39,4.0,44.0,458.0,181.0,,,,,,
5,Shikhar Dhawan,159,158,21.0,4579,97*,33.42,3669.0,124.8,0.0,37.0,524.0,96.0,,,,,,
6,Chris Gayle,125,124,15.0,4484,175*,41.13,2969.0,151.02,6.0,28.0,369.0,326.0,,,,,,
7,MS Dhoni,190,170,65.0,4432,84*,42.2,3215.0,137.85,0.0,23.0,297.0,209.0,,,,,,
8,Robin Uthappa,177,170,17.0,4411,87,28.83,3380.0,130.5,0.0,24.0,435.0,156.0,,,,,,
9,AB de Villiers,154,142,32.0,4395,133*,39.95,2906.0,151.23,3.0,33.0,357.0,212.0,,,,,,
10,Gautam Gambhir,154,152,17.0,4217,93,31.23,3404.0,123.88,0.0,36.0,491.0,59.0,,,,,,
11,Ajinkya Rahane,140,132,16.0,3820,105*,32.93,3133.0,121.92,2.0,27.0,404.0,74.0,,,,,,
12,Dinesh Karthik,182,163,28.0,3654,97*,27.06,2815.0,129.8,0.0,18.0,357.0,101.0,,,,,,
13,Shane Watson,134,130,15.0,3575,117*,31.08,2562.0,139.53,4.0,19.0,343.0,177.0,,,,,,
14,Ambati Rayudu,147,140,25.0,3300,100*,28.69,2620.0,125.95,1.0,18.0,278.0,120.0,,,,,,
15,Yusuf Pathan,174,154,44.0,3204,100,29.12,2241.0,142.97,1.0,13.0,262.0,158.0,,,,,,
16,Brendon McCullum,109,109,5.0,2880,158*,27.69,2186.0,131.74,2.0,13.0,293.0,130.0,,,,,,
17,Parthiv Patel,139,137,11.0,2848,81,22.6,2358.0,120.78,0.0,13.0,365.0,49.0,,,,,,
18,Manish Pandey,130,120,23.0,2843,114*,29.3,2353.0,120.82,1.0,15.0,253.0,75.0,,,,,,
19,Kieron Pollard,148,135,39.0,2755,83,28.69,1877.0,146.77,0.0,14.0,181.0,176.0,,,,,,
20,Yuvraj Singh,132,126,15.0,2750,83,24.77,2120.0,129.71,0.0,13.0,217.0,149.0,,,,,,
21,Virender Sehwag,104,104,5.0,2728,122,27.55,1755.0,155.44,2.0,16.0,334.0,106.0,,,,,,
22,Murali Vijay,103,103,5.0,2587,127,26.39,2106.0,122.83,2.0,13.0,243.0,91.0,,,,,,
23,Shaun Marsh,71,69,7.0,2477,115,39.95,1866.0,132.74,1.0,20.0,266.0,78.0,,,,,,
24,Jacques Kallis,98,96,11.0,2427,89*,28.55,2222.0,109.22,0.0,17.0,255.0,44.0,,,,,,
25,Dwayne Smith,91,89,5.0,2385,87*,28.39,1764.0,135.2,0.0,17.0,245.0,117.0,,,,,,
26,Sachin Tendulkar,78,78,11.0,2334,100*,34.83,1948.0,119.81,1.0,13.0,295.0,29.0,,,,,,
27,Sanju Samson,93,89,9.0,2209,102*,27.61,1696.0,130.24,2.0,10.0,170.0,89.0,,,,,,
28,Rahul Dravid,89,82,5.0,2174,75*,28.23,1882.0,115.51,0.0,11.0,269.0,28.0,,,,,,
29,Adam Gilchrist,80,80,4.0,2069,109*,27.22,1495.0,138.39,2.0,11.0,239.0,92.0,,,,,,
30,JP Duminy,83,77,26.0,2029,78*,39.78,1636.0,124.02,0.0,14.0,126.0,79.0,,,,,,
31,Steve Smith,81,72,18.0,2022,101,37.44,1568.0,128.95,1.0,8.0,180.0,49.0,,,,,,
32,KL Rahul,67,58,11.0,1977,100*,42.06,1431.0,138.15,1.0,16.0,176.0,81.0,,,,,,
33,Michael Hussey,59,58,7.0,1977,116*,38.76,1612.0,122.64,1.0,15.0,198.0,52.0,,,,,,
34,Ravindra Jadeja,170,128,48.0,1927,48,24.08,1572.0,122.58,0.0,0.0,135.0,65.0,,,,,,
35,Faf du Plessis,71,64,5.0,1853,96,31.4,1462.0,126.74,0.0,12.0,163.0,59.0,,,,,,
36,David Miller,79,77,23.0,1850,101*,34.25,1333.0,138.78,1.0,9.0,126.0,87.0,,,,,,
37,Mahela Jayawardene,80,78,15.0,1802,110*,28.6,1462.0,123.25,1.0,10.0,200.0,39.0,,,,,,
38,Wriddhiman Saha,120,95,21.0,1765,115*,23.85,1346.0,131.12,1.0,6.0,160.0,59.0,,,,,,
39,Aaron Finch,75,73,7.0,1737,88*,26.31,1329.0,130.69,0.0,13.0,176.0,67.0,,,,,,
40,Rishabh Pant,54,54,6.0,1736,128*,36.16,1067.0,162.69,1.0,11.0,152.0,94.0,,,,,,
41,Manoj Tiwary,98,85,26.0,1695,75*,28.72,1449.0,116.97,0.0,7.0,156.0,40.0,,,,,,
42,Kumar Sangakkara,71,68,3.0,1687,94,25.95,1392.0,121.19,0.0,10.0,195.0,27.0,,,,,,
43,Shreyas Iyer,62,62,7.0,1681,96,30.56,1324.0,126.96,0.0,13.0,149.0,67.0,,,,,,
44,Naman Ojha,113,94,19.0,1554,94*,20.72,1313.0,118.35,0.0,6.0,121.0,79.0,,,,,,
45,Suryakumar Yadav,85,71,16.0,1548,72,28.14,1173.0,131.96,0.0,7.0,161.0,47.0,,,,,,
46,Mandeep Singh,97,84,15.0,1529,77*,22.15,1226.0,124.71,0.0,5.0,160.0,33.0,,,,,,
47,Dwayne Bravo,134,102,38.0,1483,70*,23.17,1156.0,128.28,0.0,5.0,116.0,61.0,,,,,,
48,Karun Nair,69,63,4.0,1464,83*,24.81,1139.0,128.53,0.0,10.0,158.0,39.0,,,,,,
49,Quinton de Kock,50,50,2.0,1456,108,30.33,1109.0,131.28,1.0,10.0,155.0,54.0,,,,,,
50,Subramaniam Badrinath,95,67,20.0,1441,71*,30.65,1212.0,118.89,0.0,11.0,154.0,28.0,,,,,,
51,Brad Hodge,66,63,21.0,1400,73,33.33,1118.0,125.22,0.0,6.0,122.0,43.0,,,,,,
52,Andre Russell,64,52,10.0,1400,88*,33.33,751.0,186.41,0.0,8.0,96.0,120.0,,,,,,
53,Glenn Maxwell,69,68,7.0,1397,95,22.9,867.0,161.13,0.0,6.0,109.0,91.0,,,,,,
54,Jos Buttler,45,45,6.0,1386,95*,35.53,919.0,150.81,0.0,9.0,140.0,61.0,,,,,,
55,Sourav Ganguly,59,56,3.0,1349,91,25.45,1263.0,106.8,0.0,7.0,137.0,42.0,,,,,,
56,David Hussey,64,61,12.0,1322,71,26.97,1075.0,122.97,0.0,5.0,90.0,60.0,,,,,,
57,Kane Williamson,41,41,7.0,1302,89,38.29,964.0,135.06,0.0,12.0,111.0,44.0,,,,,,
58,Chris Lynn,41,41,3.0,1280,93*,33.68,910.0,140.65,0.0,10.0,128.0,63.0,,,,,,
59,Saurabh Tiwary,81,64,19.0,1276,61,28.35,1067.0,119.58,0.0,7.0,93.0,45.0,,,,,,
60,Mayank Agarwal,77,72,3.0,1266,68,18.34,988.0,128.13,0.0,5.0,117.0,52.0,,,,,,
61,Tillakaratne Dilshan,52,50,7.0,1153,76*,26.81,1007.0,114.49,0.0,9.0,140.0,24.0,,,,,,
62,Irfan Pathan,103,82,29.0,1139,60,21.49,946.0,120.4,0.0,1.0,87.0,37.0,,,,,,
63,Matthew Hayden,32,32,2.0,1107,93,36.9,805.0,137.51,0.0,8.0,121.0,44.0,,,,,,
64,Nitish Rana,46,41,4.0,1085,85*,29.32,806.0,134.61,0.0,8.0,84.0,60.0,,,,,,
65,Kedar Jadhav,79,70,23.0,1079,69,22.95,853.0,126.49,0.0,4.0,92.0,38.0,,,,,,
66,Lendl Simmons,29,29,2.0,1079,100*,39.96,852.0,126.64,1.0,11.0,109.0,44.0,,,,,,
67,Hardik Pandya,66,61,24.0,1068,91,28.86,690.0,154.78,0.0,3.0,72.0,68.0,,,,,,
68,Ross Taylor,55,54,14.0,1017,81*,25.42,822.0,123.72,0.0,3.0,66.0,46.0,,,,,,
69,Manan Vohra,49,45,2.0,1012,95,23.53,768.0,131.77,0.0,3.0,97.0,39.0,,,,,,
70,Kevin Pietersen,36,36,9.0,1001,103*,37.07,743.0,134.72,1.0,4.0,91.0,40.0,,,,,,
71,Venugopal Rao,65,54,10.0,985,71*,22.38,836.0,117.82,0.0,3.0,77.0,37.0,,,,,,
72,Albie Morkel,91,68,28.0,974,73*,24.35,686.0,141.98,0.0,3.0,61.0,55.0,,,,,,
73,Andrew Symonds,39,36,9.0,974,117*,36.07,750.0,129.86,1.0,5.0,74.0,41.0,,,,,,
74,Moises Henriques,57,50,16.0,969,74*,28.5,756.0,128.17,0.0,5.0,87.0,27.0,,,,,,
75,Cameron White,47,45,9.0,954,78,26.5,755.0,126.35,0.0,6.0,76.0,36.0,,,,,,
76,Krunal Pandya,55,48,14.0,891,86,26.2,610.0,146.06,0.0,1.0,86.0,35.0,,,,,,
77,Herschelle Gibbs,36,36,4.0,886,69*,27.68,807.0,109.78,0.0,6.0,83.0,31.0,,,,,,
78,Stuart Binny,95,68,23.0,880,48*,19.55,683.0,128.84,0.0,0.0,66.0,35.0,,,,,,
79,Eoin Morgan,52,45,5.0,854,66,21.35,705.0,121.13,0.0,4.0,72.0,34.0,,,,,,
80,Harbhajan Singh,160,88,35.0,829,64,15.64,600.0,138.16,0.0,1.0,79.0,42.0,,,,,,
81,Manvinder Bisla,39,39,1.0,798,92,21.0,702.0,113.67,0.0,4.0,93.0,23.0,,,,,,
82,Axar Patel,82,63,21.0,796,44,18.95,630.0,126.34,0.0,0.0,47.0,35.0,,,,,,
83,Sanath Jayasuriya,30,30,2.0,772,114*,27.57,532.0,145.11,1.0,4.0,85.0,39.0,,,,,,
84,Sunil Narine,110,57,13.0,771,75,17.52,458.0,168.34,0.0,3.0,93.0,44.0,,,,,,
85,Rahul Tripathi,34,33,4.0,758,93,26.13,552.0,137.31,0.0,4.0,74.0,27.0,,,,,,
86,Shakib Al Hasan,63,46,11.0,746,66*,21.31,589.0,126.65,0.0,2.0,70.0,20.0,,,,,,
87,Graeme Smith,29,29,3.0,739,91,28.42,668.0,110.62,0.0,4.0,94.0,9.0,,,,,,
88,Angelo Mathews,49,42,11.0,724,65*,23.35,575.0,125.91,0.0,1.0,44.0,29.0,,,,,,
89,Ishan Kishan,37,33,0.0,695,62,21.06,531.0,130.88,0.0,3.0,64.0,34.0,,,,,,
90,Tirumalasetti Suman,43,40,8.0,676,78*,21.12,575.0,117.56,0.0,2.0,55.0,26.0,,,,,,
91,Abhishek Nayar,60,50,12.0,672,45*,17.68,577.0,116.46,0.0,0.0,55.0,20.0,,,,,,
92,George Bailey,40,37,10.0,663,61*,24.55,544.0,121.87,0.0,2.0,59.0,19.0,,,,,,
93,Ben Stokes,34,33,5.0,635,103*,22.67,481.0,132.01,1.0,1.0,43.0,25.0,,,,,,
94,Jesse Ryder,29,29,1.0,604,86,21.57,458.0,131.87,0.0,4.0,69.0,19.0,,,,,,
95,Prithvi Shaw,25,25,0.0,598,99,23.92,424.0,141.03,0.0,4.0,72.0,19.0,,,,,,
96,Piyush Chawla,157,81,32.0,584,24*,11.91,524.0,111.45,0.0,0.0,54.0,18.0,,,,,,
97,Hashim Amla,16,16,3.0,577,104*,44.38,407.0,141.76,2.0,3.0,60.0,21.0,,,,,,
98,Vijay Shankar,33,29,11.0,557,63*,30.94,416.0,133.89,0.0,2.0,34.0,24.0,,,,,,
99,Corey Anderson,30,29,7.0,538,95*,24.45,423.0,127.18,0.0,3.0,40.0,31.0,,,,,,
100,Ravi Bopara,24,22,4.0,531,84,29.5,453.0,117.21,0.0,3.0,39.0,16.0,,,,,,
1,LasithMalinga,122,122,,3366,,19.8,,16.62,,,,,471.1,170.0,0.0,7.14,6.0,1.0
2,Amit Mishra,147,147,,3799,,24.19,,19.75,,,,,516.5,157.0,0.0,7.35,3.0,1.0
3,Harbhajan Singh,160,157,,3967,,26.44,,22.49,,,,,562.2,150.0,0.0,7.05,1.0,1.0
4,Piyush Chawla,157,156,,4072,,27.14,,20.82,,,,,520.4,150.0,0.0,7.82,2.0,0.0
5,Dwayne Bravo,134,131,,3617,,24.6,,17.59,,,,,431.0,147.0,0.0,8.39,2.0,0.0
6,Bhuvneshwar Kumar,117,117,,3154,,23.71,,19.63,,,,,435.2,133.0,0.0,7.24,2.0,1.0
7,Ravichandran Ashwin,139,136,,3310,,26.48,,23.39,,,,,487.2,125.0,0.0,6.79,1.0,0.0
8,Sunil Narine,110,109,,2845,,23.31,,20.96,,,,,426.2,122.0,0.0,6.67,6.0,1.0
9,Umesh Yadav,119,118,,3496,,29.37,,20.84,,,,,413.2,119.0,0.0,8.45,2.0,0.0
10,Ravindra Jadeja,170,142,,3152,,29.18,,23.1,,,,,415.5,108.0,0.0,7.57,3.0,1.0
11,Ashish Nehra,88,88,,2495,,23.53,,18.0,,,,,318.0,106.0,0.0,7.84,1.0,0.0
12,Vinay Kumar,105,104,,2966,,28.24,,20.2,,,,,353.3,105.0,0.0,8.39,1.0,0.0
13,Zaheer Khan,100,99,,2782,,27.27,,21.56,,,,,366.4,102.0,0.0,7.58,1.0,0.0
14,Yuzvendra Chahal,84,83,,2318,,23.18,,17.87,,,,,297.5,100.0,0.0,7.78,2.0,0.0
15,Dale Steyn,92,92,,2375,,24.73,,21.93,,,,,351.0,96.0,0.0,6.76,0.0,0.0
16,Sandeep Sharma,79,79,,2272,,23.91,,18.36,,,,,290.5,95.0,0.0,7.81,2.0,0.0
17,Shane Watson,134,105,,2682,,29.15,,22.05,,,,,338.1,92.0,0.0,7.93,1.0,0.0
18,Mohit Sharma,85,85,,2425,,26.64,,19.01,,,,,288.2,91.0,0.0,8.41,1.0,0.0
